word,annotation
睿,"通达；明智
古时臣对君的敬辞"
郭,城外围着城的墙
旦,"早晨
表示某一天，亦指农历的初一日
传统戏剧里扮演女子的角色"
助,帮助协同，辅佐
羽,"鸟的毛
鱼类或昆虫的翅膀，道教传说中指会飞的仙人
箭上的羽毛，借指箭"
欢,"快乐，高兴
喜爱，亦指所喜爱的人
活跃，起劲，旺盛"
松,"种子植物的一属，一般为常绿乔木，脂可提取松香或松节油等。种子可榨油和食用
”相对
宽，不紧张，不严格
放开
用瘦肉做成的茸毛或碎末形的食品"
夕,"日落的时候
泛指晚上"
操,"拿，抓在手里
控制、掌握
从事
体力的锻炼，军事的训练
用某种语言或方言讲话
行为，品行"
斗,"中国市制容量单位（十升为一斗，十斗为一石）
量粮食的器具
形容事物之大
形容事物之小
像斗的东西
星名，二十八宿之一，亦泛指星
圆形的指纹
对打
比赛胜负，争胜
使动物之间互争高下
拼合，对准，凑近"
困,"陷在艰难痛苦或无法摆脱的环境中
穷苦、艰难
包围
疲乏
想睡，睡"
系,"有联属关系的
高等学校中按学科分的教学单位
关联
联结，栓
牵挂
是
把人或东西捆住上提或向下送
某些学科中分类的名称
结，扣"
熙,和乐
项,"颈的后部，泛指脖子
量词，分类的条目，
钱款，经费"
耶,”
沈,”。汁
仓,收藏谷物的建筑物
掠,"夺取
擦过
拷打
砍伐
顺手抓取"
弥,"满，遍
补，合
更加
水满的样子
久，远"
遭,"周，圈
次"
杖,"扶着走路的棍子
泛指棍棒
古代刑罚之一，用棍打"
哀,"悲痛
悼念
旧时称死去母亲"
贡,"献东西给上级，古代臣下或属国把物品进献给帝王
封建时代给朝廷荐举人才"
端,"正，不歪斜
正派，正直
事物的一头
用手很平正地拿"
桥,"架在水上或空中便于通行的建筑物
形状如桥梁的"
述,"修纂
循，顺行"
叔,"兄弟排行次序第三
父亲的弟弟，亦称跟父亲同辈而年纪较小的男子
丈夫的弟弟
拾"
辽,"远
中国朝代名"
鸿,"大雁
大
指书信"
藩,"篱笆
屏障，保卫
封建时代称属国属地或分封的土地，借指边防重镇"
戚,"因婚姻联成的关系
忧愁，悲哀"
循,遵守，依照沿袭
勿,◎ 副词，不，不要
贾,作买卖的人；商人。古时特指设店售货的坐商
抵,"挡，拒，用力对撑着
顶撞，冲突，矛盾
代替，相当，顶替
到达"
靖,"平安，安静
平定，使秩序安定
图谋，谋议
恭敬"
规,"画圆等的仪器
法则，章程，标准
格局，范围
相劝
谋划"
窃,"偷盗
用不合法不合理的手段取得
私自，暗中
谦辞，指自己"
逃,"为躲避不利于自己的环境或事物而离开
躲开不愿意或不敢接触的事物"
寺,"古代官署名
佛教出家人居住的地方
伊斯兰教徒礼拜、讲经的地方"
寝,"睡，卧
睡觉的地方
皇家宗庙后殿藏先人衣冠之处，亦指帝王的坟墓
停止，平息
面貌难看"
维,"系，连结
保持
纲
思考
以，因为
文言助词，用于句首或句中"
亨,通达，顺利
宽,"”相对
使松缓
不严厉，不苛求
富裕"
莽,"草，密生的草
广大，辽阔
粗鲁，冒失"
趋,"快走
归向，情势向着某方面发展
追求，追逐"
牧,"放养牲口
治
古代治民之官"
类,"很多相似事物的综合
相似，好像"
勉,"力量不够而尽力做
劝人努力，鼓励
努力"
毕,"完结
完全
究竟，到底
古代田猎用的长柄小网，亦指用长柄网捕取禽兽"
悟,理解，明白，觉醒
恨,"怨，仇视
为做不到或做不好而内心不安"
顷,"中国市制田地面积单位
短时间
刚才，不久以前"
潜,"隐在水面下活动
隐藏的，秘密地"
渊,"深水，潭
深"
丰,"容貌好看
风度神采
盛，多，大"
增,◎ 加多，添
阵,"军队作战时布置的局势
战场
量词，指事情或动作经过的段落"
掌,"手心，脚心
用巴掌打
把握，主持，主管
鞋底或牲口蹄子底下的东西"
预,"事前
参与"
毅,◎ 果决，志向坚定而不动摇
药,"可以治病的东西
有一定作用的化学物品
用药物救治
毒死"
溪,◎ 山里的小河沟，泛指小河沟
半,"二分之一
不完全的
在中间
喻很少"
险,"可能遭受的灾难
可能发生灾难的
要隘，不易通过的地方
存心狠毒
几乎，差一点"
卷,"可以舒展和弯转成圆筒形的书画
书籍的册本或篇章
考试用的纸
机关里分类汇存的档案、文件
把东西弯转裹成圆筒形
裹挟带动
弯转裹成筒形的东西"
形,"实体
样子
表现
对照，比较
状况，地势"
巨,大，很大
壮,"大，有力，强盛
增加勇气和力量
”）"
桓,"古代立在城郭、宫殿、官署、陵墓或驿站路边的木柱
大"
渐,"副词，慢慢地，一点一点地
加剧
疏导
浸
流入"
横,"”相对
”相对
地理学上指东西向的
”相对
意外的，不寻常的"
支,"撑持，伸出，竖起
受得住
领款或付款
调度，指使
附属于总体的一个部分
〔地～〕历法中用的十二个字
量词"
减,"由原有数量中去掉一部分
降低程度，衰退"
宠,"爱
纵容，偏爱
妾
推崇"
申,"用于记时
陈述，说明
重复，一再"
忌,"嫉妒，憎恨
害怕，畏惧
禁戒
父母或祖先死亡的日子，迷信称不吉利的日子"
毋,"不要，不可以
不"
词,"语言里最小的可以独立运用的单位
言辞，话语，泛指写诗作文
中国一种诗体（起于南朝，形成于唐代，盛行于宋代。本可入乐歌唱，后乐谱失传，只按词牌格律创作）"
刚,"”相对
恰好，恰巧
才"
僧,◎ 佛教指出家修行的人，梵语“僧伽”的简称
沙,"非常细碎的石粒
像沙的东西
声音不清脆不响亮"
忍,"耐，把感情按住不让表现
狠心，残酷"
辩,◎ 说明是非或争论真假
审,"详细，周密
仔细思考，反复分析、推究
讯问案件
知道
一定地，果然"
虎,"哺乳动物，毛黄褐色，有黑色条纹，性凶猛，力大。骨和血及内脏均可入药（通称“老虎”）
勇猛、威武"
佑,◎ 帮助
毁,"破坏损害
烧掉
把成件的旧东西改造成别的东西
诽谤，说别人的坏话"
洪,"大
大水"
折,"翻转，倒腾
断，弄断
幼年死亡
弯转，屈曲
返转，回转
损失
挫辱
减少
抵作，对换，以此代彼
心服
戏曲名词，杂剧一本分四折，一折等于后来的一出
判决
亏损"
绅,"古代士大夫束腰的大带子，引申为束绅的人
旧称地方上有势力、有地位的人"
逐,"强迫离开
依照先后次序，一一挨着
追赶"
敛,"收拢，聚集
征收
收束，约束"
萧,冷落，没有生气的样子
衰,"事物发展转向微弱
等次，等级，等差"
律,"法则，规章
约束
中国古代审定乐音高低的标准，把声音分为六律（阳律）和六品（阴律）。合称“十二律”
旧诗的一种体裁"
池,"水塘，多指人工挖的
湖
像水池的
护城河
旧时指剧场中正厅前部"
单,"不复杂
独一
只，仅
奇（jī）数的
薄，弱
衣服被褥只有一层的
覆盖用的布
记载事物用的纸片"
沛,"水势湍急，行动迅疾的样子
充盛的样子
跌倒，倾仆"
芳,"花草的香气
喻美好的
花卉"
依,"靠，仗赖
按照
顺从，答应
亲密的样子"
卢,黑色
产,"人或动物生子
制造，养种植或自然生长
制造、养、种植或自然生长的东西
生出，出现
财物"
苟,"姑且，暂且
马虎，随便
如果，假使"
斤,"中国市制重量单位
古代砍伐树木的工具"
舆,"车中装载东西的部分，后泛指车
古代奴隶中的一个等级，泛指地位低微的人，亦用以指众人的
疆域"
淳,"朴实
◎ 浇灌"
颜,"面容，脸色，脸面
色彩"
抑,"压，压制
忧闷
文言发语词"
科,"动植物的分类单位
机关内部组织的划分
学术或专业的类别
古代分科考选文武官吏后备人员的制度
判定（刑罚）
古典戏剧本中指示角色表演动作时的用语"
雅,"正规的，标准的
美好的，高尚的，不粗俗的
平素，素来
极，甚
交往
酒器名
中国周代朝庭上的乐歌"
择,"◎ 挑拣，挑选
◎ 义同“择”（zé），用于口语"
阿,"◎ 加在称呼上的词头
迎合，偏袒
凹曲处"
讼,"在法庭上争辨是非曲直，打官司
争辨是非
自责"
提,"垂手拿着有环、柄或绳套的东西
引领（向上或向前等）
说起，举出
将犯人从关押之处带出来
率领，调遣
取出
舀取油、酒等液体的一种用具
古代鼓名
◎ 投掷"
突,"忽然
超出，冲破，猛冲
烟囱"
逵,"四通八达的道路。后也泛指大道。《爾雅•釋宫》
水中连通的穴道。《山海經•中山經》
隐。《廣韻•脂韻》
姓。《萬姓統譜•支韻》"
启,"打开
开始
开导
陈述
书信"
忽,"粗心，不注意
迅速，突然
长度和重量单位（十忽为一丝，十丝为一毫）"
托,"用手掌承着东西
陪衬，铺垫
承着器物的东西
寄，暂放
请求、帮助
借故推诿躲避
依赖
委任"
放,"解脱约束，得到自由
）
带牲畜到野外去吃草
驱逐到远方去
到基层去
发出
借钱给别人，收取利息
扩展
花开
搁、置
至"
米,谷类或其他植物的子实去了皮的名称
贪,求多，不知足
厉,"严格
严肃
凶猛
磨，使锋利"
屈,"”相对
低头，降服
冤枉，叫人不痛快
理亏"
敏,"迅速，灵活
奋勉"
览,◎ 看，阅
尺,"中国市制长度单位（亦称“市尺”。一尺等于十寸。西汉时一尺等于0.231米，今三尺等于一米）
量长度的器具
像尺的东西
形容微少或短小"
笃,"忠实，一心一意
厚实，结实
病沉重"
供,"◎ 准备着东西给需要的人应用
奉献
祭祀用的东西
被审问时在法庭上述说事实"
墓,◎ 埋葬死人的地方
俭,"节省，不浪费
贫乏，歉收"
旱,"”相对
非水田的、无水的、陆地上的，与水无关的"
彦,◎ 古代指有才学、德行的人
惮,"怕，畏惧
劳苦，因劳成疾
◎ 震赫，撼动"
逢,"遇到
迎合，巴结"
罗,"捕鸟的网
张网捕捉
搜集，招致，包括
散布
过滤流质或筛细粉末用的器具
用罗筛东西
轻软有稀孔的丝织品"
惇,"敦厚
劝勉，勤勉
推崇，尊重"
叶,"植物的营养器官之一
像叶子的
世代，时期
和洽，合"
逸,"散失
安闲，安乐
超过一般
隐遁
放任，不受拘束"
囚,"拘禁
被拘禁的人"
稽,"停留
考核
计较"
愚,"傻，笨
欺骗，耍
谦辞，用于自称"
粟,"一年生草本植物，子实为圆形或椭圆小粒。北方通称“谷子”，去皮后称“小米”
古代泛称谷类"
祀,"祭
中国殷代指年"
印,"图章，戳记
痕迹
用油墨、染料之类把文字或图画留在纸、布、器皿等材料上
彼此符合
外界事物反映在脑中所留下的形象"
溃,"大水冲开堤岸
散乱，垮台
肌肉组织因腐烂而破了口"
卧,"睡倒，躺或趴
把去壳的鸡蛋放到开水里煮"
骨,"人和脊椎动物体内支持身体、保护内脏的坚硬组织
像骨的东西（指支撑物体的骨架）
指文学作品的理论和笔力
指人的品质、气概"
扰,"搅乱
增添麻烦
驯顺，安
畜养"
陆,"高出水面的土地
随从的样子
跳跃"
介,"在两者中间
这样，这么
放在心里
耿直
甲
个（用于人）
大
传统戏曲脚本里表示情态动作的词
助"
妄,"胡乱，荒诞不合理
非分的，不实的"
伪,"假，不真实
不合法的"
错,"不正确，与实际不符
交叉着
叉开
用来打磨玉石的石头
打磨玉石
镀金、银，涂饰"
采,"摘取
开采
选取，取
神采，神色，精神"
币,钱币，交换各种商品的媒介
仰,"”相对
敬慕
依赖
旧时公文用语。上行文中用在“请、祈、恳”等字之前，表示恭敬；下行文中表示命令
服下，指服毒"
候,"等待
看望，问好
时节
事物在变化中的情状
古代把五天称为“一候”，现气象学上仍沿用"
帛,◎ 丝织品的总称
条,"植物的细长枝
泛称条形的东西
细长的形状
项目，分项目的
层次，秩序
◎ 挑取"
秀,"植物吐穗开花，多指庄稼
特别优异的，亦指特别优异的人
美丽而不俗气
”）
茂盛"
迹,"脚印
物体遗留下的印痕
前人遗留下的事物
追寻踪迹
据实迹考知"
遁,"逃避，躲闪
隐，消失"
崩,"倒塌
破裂
崩裂的东西击中
败坏
称枪毙
君主时代称帝王死"
投,"抛，掷，扔（多指有目标的）
跳进去
放进去，送进去
走向，进入
发向
寄，递送
合
临，在…以前"
觉,"人或动物的器官受刺激后对事物的感受辨别
睡醒；醒悟
睡眠（从睡着到睡醒）"
趣,"意向
趣味，使人感到愉快"
倚,"仗恃
偏，歪
随着，和着"
激,"水受阻遏，震荡而涌或飞溅
冷水突然浇淋或冲、泡食物
鼓动，使人的感情冲动
感情冲动
急剧的，强烈的
过分直率
鲜明"
履,"鞋
践踩，走过
步伐
执行，实行
指领土"
泉,从地下流出的水源
隶,"附属，属于
封建时代的衙役
旧时地位低下而被奴役的人
隶书，汉字的一种书体，由篆书简化演变而成"
奋,"鸟张开并振动翅膀
振作，鼓劲，振动
提起，举起"
郊,◎ 城外
诵,"用有高低抑扬的腔调念
称述，述说
诗歌"
纪,"记载
记年代的方式
法度
散丝的头绪"
违,"背，反，不遵守
不见面，离别"
泽,"水积聚的地方
金属或其他物体发出的光亮
恩惠"
祯,◎ 吉祥
斥,"责备
指，指出
使退去，使离开
开拓
多，广
侦察，伺望
盐碱地"
防,"戒备，预先作好应急的准备
守卫
堤坝
抵得，相当"
医,"治病
治病的人
治病的科学"
朔,"农历每月初一
始
北方"
甘,"甜，味道好
美好
自愿，乐意"
弊,"欺蒙人的坏事
”相对"
锦,"有彩色花纹的丝织品
鲜明美丽"
涕,"眼泪
鼻子里分泌的液体"
嵩,高
亟,"◎ 急切
◎ 屡次"
朗,"明亮，光线充足
声音清楚、响亮"
津,"渡水的地方
口液，唾液
汗
滋润，补"
倾,"斜，歪
趋向
倒塌
使器物反转或歪斜以倒出里面的东西；引申为尽数拿出，毫无保留
用尽（力量）"
馆,"招待宾客或旅客食宿的房舍
一个国家在另一个国家外交人员常驻的住所
某些服务性商店的名称
一些文化工作场所
旧时指教学的地方"
背,"人体后面从肩到腰的部分
物体的后面或反面
”相对
向相反的方向
避开，离开
凭记忆读出
违反
不顺
偏僻
听觉不灵
）东西，引申为负担"
戎,"军队，军事
古代称兵车
大
”）
中国古代称西部民族"
式,"物体外形的样子
特定的规格
典礼，有特定内容的仪式
自然科学中表明某些关系或规律的一组符号
一种语法范畴，表示说话者对所说事情的主观态度"
落,"丢下，遗漏
掉下来，往下降
衰败
遗留在后面
停留，留下
停留或居住的地方
归属，得到某种结果
陷入不利境地
古代宫室建成时举行的祭礼，现泛指建筑物完工
稀少
屋檐上的滴水装置（俗称“檐滴水”）
死亡
篱笆"
诉,"叙述，倾吐
控告"
赖,"倚靠，仗恃
留在某处不肯走开
不承认
刁钻泼辣，不讲道理；游手好闲，行为不端的人
诬，怪罪
不好，劣"
乌,"指“乌鸦”
黑色的
无，没有
文言疑问词，哪，何"
贱,"”相对
旧时指地位卑下
谦辞，旧称与自己有关的
骂人的话
指撒娇或不尊重、不知好歹
轻视"
秩,"有条理，不混乱的情况
古代官吏的俸禄
古代官职级别
十年"
效,"摹仿
功用，成果
尽、致"
祥,"吉利
吉凶的预兆"
幽,"隐藏，不公开的
形容地方很僻静又光线暗
沉静而安闲
把人关起来，不让跟外人接触
迷信的人指阴间
古地名，大致相当于今中国河北省、辽宁省南部一带"
阅,"看，察看
经历
容，容许
本钱
总聚，汇集"
贬,"”相对
减低，降低"
程,"规矩，法式
进展，限度
道路的段落
衡量，考核"
翁,"老头儿
父亲
丈夫的父亲
妻子的父亲"
蛮,"粗野，凶恶，不通情理
愣，强悍
中国古代称南方各族
”"
谟,◎ 计谋，策略
带,"用皮、布或线等做成的长条物
像带子的长条物
车轮胎
区域
佩戴，披挂
随身拿着
捎，连着，顺便做
含有，呈现
率领，引导
女子阴道分泌的白色黏液"
屏,"遮挡
字画的条幅，通常以四幅或八幅为一组
除去，排除
抑止（呼吸）"
船,◎ 水上交通工具
柳,落叶乔木或灌木，枝柔韧，叶狭长，春天开黄绿色花，种子上有白色毛状物，成熟后随风飞散，种类很多，有“垂柳”、“河柳”、“杞柳”等
熹,"光明
炙，炽热"
库,贮存东西的房屋或地方
念,"惦记，常常想
心中的打算，想法，看法
说，读，诵读"
符,"古代朝廷传达命令或征调兵将用的凭证
代表事物的标记、记号
相合
道士画的驱使鬼神的图形或线条
古代称祥瑞的征兆"
撰,"才能
写作，著书
持，拿着"
羊,哺乳动物，反刍类，一般头上有一对角，品种很多
逮,"捉，捕，用于口语
到，及
捉拿"
树,"木本植物的通称
种植，培育
立，建立
”"
普,◎ 全，广，遍
品,"物件
等级，种类
性质
体察出好坏、优劣等
指吹弄乐器"
超,"越过，高出
跳上，跨过
在一定范围以外
遥远
怅惘的样子"
寄,"托付
依靠，依附
托人传送，特指由邮局传递
认的亲属"
虞,"预料
忧虑
欺骗
古代掌管山泽的官"
席,"用草或苇子编成的成片的东西，古人用以坐、卧，现通常用来铺床或炕等
座位
酒筵，成桌的饭菜
特指议会中当选的人数
职位
量词"
歌,"唱
能唱的文词"
抗,"抵御
拒绝
对等"
哭,◎ 因痛苦或悲哀而流泪发声
练,"白绢
把生丝、麻或布帛煮熟，使柔软洁白
反复学习，多次操作
经验多，精熟"
伍,"古代军队的编制
军队
同伴的人"
导,"指引，带领
传引，传向
启发"
鼓,"打击乐器，圆柱形，中空，两头蒙皮
形状、声音、作用像鼓的
敲击或拍打使发出声音
发动，使振作起来
高起，凸出"
岳,"”
称妻的父母或妻的叔伯"
扶,"搀，用手支持人或物，使不倒
帮助，援助
用手按着或把持着"
冀,希望
慨,"情绪激昂，愤激
叹息，叹气
豪爽，不吝啬"
编,"用细条或带形的东西交叉组织起来
按一定的原则、规则或次序来组织或排列
把材料加以适当的组织排列而成为书籍、报刊、广播电视节目等
创作
捏造
成本的书按内容划分的部分"
将军,"将军
武官名。春秋时诸侯以卿统军,故称卿为将军。战国以后转为武官之称,加号极繁。如汉有大将军、骠骑将军、车骑将军、卫将军、前、后、左、右将军以及楼船将军,材官将军、度辽将军等、多用以尊称对方
将军百战死。——《乐府诗集·木兰诗》
将军向宠。——诸葛亮《出师表》
宋将军家。——明魏禧《大铁椎传》
呼宋将军。
军衔名,在校级之上。通常分四级,少将、中将、上将和大将
将军
下象棋时攻击对方的“将”或“帅”
将国际象棋中的“王”暴露在对方棋子前,以致如果不是“王”被马上保护起来(如在其间放上另一棋子),则下一步便可能被对方吃掉
∶比喻给人出难题,使人感到难办
他当众将了我一军,要我表演舞蹈"
天下,"天下
∶四海之内,全中国
鱼鳖鼋鼍为天下富。——《孙子·谋政》
威天下不以兵革之利。——《孟子·公孙丑下》
天下三分。——诸葛亮《出师表》
天下之美。——明刘基《郁离子·千里马篇》
∶人世间,社会上
天下谁人不识君。——唐高适《别董大》
天下物皆然。——清袁枚《黄生借书说》
天下事有难易乎。——清彭端淑《为学一首示子侄》
∶全世界,所有的人
天下缟素。——《战国策·魏策》
天下顺之。——《孟子·公孙丑下》
以天下之所顺。
先天下之忧而忧。——宋范仲淹《岳阳楼记》
后天下之乐而乐。
∶国家或国家的统治权
传天下不足多。——《韩非子·五蠹》
为天下理财。——宋王安石《答司马谏议书》
共争天下。——《资治通鉴》
天下事谁可支柱者。——清方苞《左忠毅公逸事》
∶自然界,天地间
知天下之寒。——《吕氏春秋·察今》"
尚书,"尚书
中国上古历史文件的汇编。“尚”即“上”,《尚书》意即上古之书。相传由孔丘编选而成,传本有些篇是后人追述补充进去的,如《尧典》《皋陶谟》《禹贡》等。西汉初存二十八篇,用当时通行文字书写,即《今文尚书》。另有相传汉武帝时在孔丘住屋壁中发现的《古文尚书》,已佚。东晋梅赜(一作梅颐、枚颐)又伪造《古文尚书》。后来《十三经》中的通行本,即《今文尚书》与梅氏伪书的合编,宋人开始怀疑梅氏伪书,至清渐成定论。今文各篇内容包含商周等代的一些重要史料,如《盘庚》反映商代奴隶社会的情况、《禹贡》记述战国时黄河、长江两流域的地理等
尚书
∶中国古代官名。执掌文书奏章。作为官名,始置于战国时,或称“掌书”。秦为少府属官,汉武帝提高皇权,因尚书在皇帝左右办事,地位逐渐重要。后各朝均有设置,清代相沿不改
侍中、尚书、长史、参军,此悉贞良死节之臣,愿陛下亲之信之。——三国蜀诸葛亮《出师表》
上书乞骸骨,征拜尚书。——《后汉书·张衡传》
∶明清两代是政府各部的最高长官
兵部尚书"
御史,"御史
官名。秦以前指史官,明清指主管纠察的官吏
御史前书。——《史记·廉颇蔺相如列传》
又
顾召赵御史。
御史诣学宫。——清张廷玉《明史》
又
御史齐康"
太祖,"太祖
开国皇帝的通称
遵太祖法。——清张廷玉《明史》"
大夫,"大夫
[口]∶医生
大夫
古代官名。西周以后的诸侯国中,国君下有卿、大夫、士三等,“大夫”世袭,且有封地。后来大夫成为一般任官职者的称呼
孤之过也,大夫何罪。——《左传·僖公三十三年》"
太子,"太子
已确定继承帝位或王位的帝王的儿子
太子月恐惧。——《战国策·燕策》
有以报太子。
荆轲知太子不忍。
请立太子为王。——《史记·廉颇蔺相如列传》"
陛下,"陛下
对君主的尊称
愿陛下亲之信之。——诸葛亮《出师表》
不得永奉陛下。——宋王谠《唐语林·雅量》
窃为陛下惜之。——汉贾谊《论积贮疏》"
高祖,"高祖
曾祖的父亲
请问,你的高祖是谁?"
侍郎,"侍郎
中国古代官名,明清时代是政府各部的副部长,地位次于尚书
兵部侍郎"
进士,"进士
隋唐科举考试设进士科,录取后为进士。明清时称殿试考取的人"
即位,"即位
∶开始做帝王或诸侯
安斄王即位。——《史记·魏公子列传》
昭帝即位。——《汉书·李广苏建传》
∶就位;入席"
学士,"学士
∶学位的一种,通常是初级或最低级学位
文学士
∶古代在国学读书的学生"
京师,"京师
帝王的都城
自京师来。——唐柳宗元《柳河东集》
元济诣京师。——《资治通鉴·唐纪》
赴举京师。——宋胡仔《苕溪渔隐丛话》
自京师乘风雪。——清姚鼐《登泰山记》"
左右,"左右
∶左和右两方面
主席台左右,红旗迎风飘扬
∶附近;两旁
余立侍左右。——明宋濂《送东阳马生序》
∶身边
在帝左右
∶近臣;随从
太后明谓左右。——《战国策·赵策》
传以示美人及左右。——《史记·廉颇蔺相如列传》
帅左右登牙城拒战。——《资治通鉴·唐纪》
左右拥至尹前。——宋胡仔《苕溪渔隐丛话》
∶对人不直称其名,只称左右,以表示尊敬;信札亦常用以称呼对方
是故不敢匿意隐情,先以闻于左右。——《史记》
∶反正
我左右闲着没事,就陪你走一趟吧
∶用在数量词后面表示概数
在六点或六点左右到的家
断断续续在上海住了三十年左右
∶支配;控制
他的行动为她所左右
身边办事的人,侍从
左右未有所称诵,胜未有所闻。——《史记·平原君虞卿列传》"
太守,"太守
汉朝设立的一郡最高行政主管官吏。隋唐后的刺史、知府也别称太守
太守即遣人。——晋陶渊明《桃花源记》
太守自谓也。——宋苏轼《教战守》
太守与客来饮。
太守宴也。"
元年,"元年
帝王即位的第一年"
司马,"司马
∶古代官名,古代中央政府中掌管军政和军赋的长官。汉大将军、将军、校尉之属官都有司马,专掌兵事。隋唐州府佐吏有司马一人,位在别驾、长史之下,掌兵事,或位置贬谪及闲散官员
座中泣下谁最多,江州司马青衫湿。——唐白居易《琵琶行(并序)》
∶姓"
先生,"先生
∶老师
从先生授经。——清袁枚《祭妹文》
称别人的丈夫或对人称自己的丈夫
∶医生
旧时称管帐的人
在商号当先生
旧时称以说书、相面、算卦、看风水等为职业的人
算命先生
对长者的尊称
和硕豫亲王以先生呼之。——清全祖望《梅花岭记》
一般在一个男子姓氏后所用的一个习惯性的表示礼貌的称呼
对杜先生讲话"
太宗,"太宗
开国第二代皇帝
高祖太宗法。——宋王谠《雅量》"
吏部,"吏部
古代官制六部之一。主管吏的任免、考课、升降、调动等事务。长官为吏部尚书。位次在其他各部之上
时韩愈吏部权京兆宋胡仔《苕溪渔隐丛话》
吏部拟用左通政。——清张廷玉《明史》
又
道改南京吏部右侍郎"
明年,"明年
今年的下一年
越明年。——宋范仲淹《岳阳楼记》
明年复攻赵《史记·廉颇蔺相如列传》
明年陵降。——《汉书·李广苏建传》"
宰相,"宰相
辅助帝王掌管国事的最高官员的通称
此为宰相听事诚隘。(听事,即“厅事”,大厅;处理公事,接待宾客的厅堂。)。——宋司马光《训俭示康》
实宰相之职也。——清梁启超《谭嗣同传》"
朝廷,"朝廷
君主接受朝见和处理政事的地方,也用作以君主为首的中央统治机构或君主的代称
朝廷之臣莫不畏王。——《战国策·齐策》
吾恐上负朝廷,下愧吾师也。——清方苞《左忠毅公逸事》"
未尝,"未尝
——加在否定词前面,构成双重否定;不是
这未尝不是一个好办法
∶不曾
终夜未尝合眼
未尝不叹息。——诸葛亮《出师表》
所未尝行。——《资治通鉴·唐纪》
未尝识书具。——宋王安石《伤仲永》
未尝有言。——明刘基《卖柑者言》"
丞相,"丞相
古代辅佐君主治理国家政务的职位最高的大臣"
契丹,"契丹
中国古代的一个民族,四至五世纪时在今辽河上游游牧
契丹与吾约为兄弟。——宋欧阳修《新五代史·伶官传(序)》"
都督,"都督
∶总兵。古代的军事长官。清初总兵一般都兼都督。同知、都督佥事官衔。民国初年各省也设有都督,兼管民政
马副使鸣騄徐任太守民育及诸将刘都督肇基等皆死。——清全祖望《梅花岭记》
∶统率
予除右丞相兼枢密使,都督诸路军马。——宋文天祥《指南录·后序》"
参军,"参军
去当兵
他离家参军去了
参军
中国古代诸王及将帅的幕僚,官名
言未毕,参军马谡曰:“某愿往。”——《三国演义》"
诸侯,"诸侯
古时帝王所辖各小国的王侯
诸侯之所亡与战败而亡者,其实亦百倍。——宋苏洵《六国论》"
河南,"河南
中国中东部的省,简称豫。与河北、山东、安徽、湖北、陕西、山西相邻,面积16.7万平方公里,人口7442万,省会郑州。黄河流经本省,开封、洛阳为有名古都,著名五岳之一的中岳嵩山在郑州西南的登封县。中国商品粮、棉的主要基地之一"
节度,"节度
∶官名。三国吴孙权始置,掌管军粮。至唐以后则为领兵之官。即节度使
∶管辖,管理
南唐为奉化军节度。(军,区划名称。)——宋陆游《过小孤山大孤山》
节度
∶节制调度;部署
∶规则;分寸
日月之行,有常节度"
郎中,"郎中
∶中医医生
∶对他人亲随的敬称
兄长,这几位郎中,是张都监相公处差来取你。——《水浒传》
∶官名。清朝六部以下设司,司设长官郎中
∶宫廷的侍卫"
百姓,"百姓
普通人——相对于官员、干部而言
并皆暴犯百姓。——《世说新语·自新》
百姓多闻其贤。——《史记·陈涉世家》
(古代百姓是百官贵族的统称)"
礼部,"礼部
官署名,清代中央政府的六部之一,掌礼乐、祭祀、封建、宴乐文学校贡举的政令"
巡抚,"巡抚
古代官名,明代指巡视各地的军政、民政大臣,清代指掌管一省军政、民政的官员"
长史,"长史
官名。秦置。西汉时丞相、太尉、御史大夫属官均设长史,后历代相沿
尚书长史。——诸葛亮《出师表》
孙权长史。——《资治通鉴》
长史张昭"
孔子,"孔子
(公元前551—前479) 中国春秋末期思想家、教育家、儒家创始人。名丘,字仲尼,鲁国陬邑(今山东曲阜东南)人。幼年生活贫困。学无常师,相传曾问礼于老子。50岁时任鲁国司寇,摄行相事。后同学生周游列国,终不见用。晚年致力教育事业,传弟子有3000人,著名者72人。政治上主张“正名”,认为“君君、臣臣、父父、子子”,都应名实相副,以巩固等级名分和社会秩序。提倡德治教化,反对苛政。伦理思想上宣传“仁”。“仁”是符合等级制度的言行规范,又是维护家长制的精神支柱,是品德素养恭、宽、信、敏、惠的总称。教育思想上注重“学”与“思”的结合,提出“学而不思则罔,思而不学则殆”和“温故知新”。重视因材施教。现存《论语》集录孔子言行"
户部,"户部
官名,我国古代朝廷分掌户口、财政的官署
户部主事。——《明史》
户部司务。
南京户部。
三国以后设度支尚书掌财政,隋改为民部尚书,唐时改为户部,为三省下的六部之一,长官称尚书。以后历代沿置,清末改为度支部"
千里,"千里
指千里马
先王之千里。——《吕氏春秋·察今》"
文章,"文章
∶原指文辞,现指篇幅不很长而独立成篇的文字
你看了晨报上的那篇文章了么?
∶泛指著作
为文章。——唐柳宗元《柳河东集》
每为文章。
∶比喻曲折隐蔽的含义
话里有文章
∶事情;程序
照例文章总得做好"
上疏,"上疏
臣子向帝王进呈奏章
上疏言时事"
长安,"长安
长安地名始于秦朝,西汉、隋、唐等朝的都城,在今陕西西安一带"
兵部,"兵部
古时官署名,掌管全国武官选用和兵籍、军械、军令之政,长官为兵部尚书,有时称为武部,清末改为陆军部"
